HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
8:00,,,ALGORITMIA COMPUTACIONAL,PROBABILIDAD Y ESTADÍSTICA,,
9:00,,,ALGORITMIA COMPUTACIONAL,PROBABILIDAD Y ESTADÍSTICA,DIBUJO MECÁNICO,
10:00,,TALLER DE EXPRESIÓN ORAL,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,TALLER DE EXPRESIÓN ORAL,,,,
12:00,,,ÁLGEBRA LINEAL,,,
13:00,,,ÁLGEBRA LINEAL,,,
14:00,,,ÁLGEBRA LINEAL,,,
15:00,TERMOFLUIDOS,,,DIBUJO MECÁNICO,,
16:00,TERMOFLUIDOS,,,DIBUJO MECÁNICO,,
17:00,TERMOFLUIDOS,,,,,
18:00,,,HILANDO MEMORIA (MEET),,,
19:00,,,HILANDO MEMORIA (MEET),,,
20:00,,,,,,
21:00,,,,,,
