HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
8:00,,,ALGORITMIA COMPUTACIONAL,PROBABILIDAD Y ESTADÍSTICA,,
9:00,,,ALGORITMIA COMPUTACIONAL,PROBABILIDAD Y ESTADÍSTICA,DIBUJO MECÁNICO,
10:00,,,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,,,APLICACIONES AL CÁLCULO,,
12:00,,,,APLICACIONES AL CÁLCULO,,
13:00,,,,APLICACIONES AL CÁLCULO,,
14:00,,TALLER DE EXPRESIÓN ORAL,,,,
15:00,TERMOFLUIDOS,TALLER DE EXPRESIÓN ORAL,,DIBUJO MECÁNICO,,
16:00,TERMOFLUIDOS,,,DIBUJO MECÁNICO,,
17:00,TERMOFLUIDOS,,,,,
18:00,,,,,,HILANDO MEMORIA (MEET)
19:00,,,,,,HILANDO MEMORIA (MEET)
20:00,,,,,,
21:00,,,,,,
