HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,
8:00,,,ALGORITMIA COMPUTACIONAL,,,
9:00,,APLICACIONES AL CÁLCULO,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
10:00,,APLICACIONES AL CÁLCULO,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,APLICACIONES AL CÁLCULO,,TERMOFLUIDOS,,
12:00,TALLER DE EXPRESIÓN ORAL,,,TERMOFLUIDOS,,
13:00,TALLER DE EXPRESIÓN ORAL,,,TERMOFLUIDOS,,
14:00,,,,,PROBABILIDAD Y ESTADÍSTICA,
15:00,,,,DIBUJO MECÁNICO,PROBABILIDAD Y ESTADÍSTICA,
16:00,,,,DIBUJO MECÁNICO,PROBABILIDAD Y ESTADÍSTICA,
17:00,,,,,,
18:00,,,,,,
19:00,,,,,,HILANDO MEMORIA (MEET)
20:00,,,,,,HILANDO MEMORIA (MEET)
21:00,,,,,,
