HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,
8:00,,,ALGORITMIA COMPUTACIONAL,,,
9:00,,,ALGORITMIA COMPUTACIONAL,,,
10:00,FUNDAMENTOS DE ECONOMÍA ,,ALGORITMIA COMPUTACIONAL,,INTRODUCCIÓN AL ANÁLISIS MATEMÁTICO,
11:00,FUNDAMENTOS DE ECONOMÍA ,,,,INTRODUCCIÓN AL ANÁLISIS MATEMÁTICO,
12:00,,LENGUAJE GRÁFICO ,,,,
13:00,,LENGUAJE GRÁFICO ,FUNDAMENTOS DE ECONOMÍA ,,,
14:00,,,FUNDAMENTOS DE ECONOMÍA ,,,
15:00,,,FÍSICA MECÁNICA,,,
16:00,,,FÍSICA MECÁNICA,,,
17:00,,,FÍSICA MECÁNICA,,,
18:00,,,,,,
19:00,,ÁLGEBRA LINEAL,,,,CÁTEDRA AMÉRICA (MEET)
20:00,,ÁLGEBRA LINEAL,,,,CÁTEDRA AMÉRICA (MEET)
21:00,,ÁLGEBRA LINEAL,,,,
