HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,APLICACIONES AL CÁLCULO,,,,
8:00,TERMOFLUIDOS,APLICACIONES AL CÁLCULO,ALGORITMIA COMPUTACIONAL,,,
9:00,TERMOFLUIDOS,APLICACIONES AL CÁLCULO,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
10:00,TERMOFLUIDOS,,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
12:00,,TALLER DE EXPRESIÓN ORAL,,PROBABILIDAD Y ESTADÍSTICA,,
13:00,,TALLER DE EXPRESIÓN ORAL,,PROBABILIDAD Y ESTADÍSTICA,,
14:00,,,,,,
15:00,,,,DIBUJO MECÁNICO,,
16:00,,,,DIBUJO MECÁNICO,,
17:00,,,,,,
18:00,,,HILANDO MEMORIA (MEET),,,
19:00,,,HILANDO MEMORIA (MEET),,,
20:00,,,,,,
21:00,,,,,,
