HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,HILANDO MEMORIA (MEET)
8:00,TERMOFLUIDOS,,ALGORITMIA COMPUTACIONAL,,,HILANDO MEMORIA (MEET)
9:00,TERMOFLUIDOS,TALLER DE EXPRESIÓN ORAL,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
10:00,TERMOFLUIDOS,TALLER DE EXPRESIÓN ORAL,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
12:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
13:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
14:00,,,,,,
15:00,APLICACIONES AL CÁLCULO,,,DIBUJO MECÁNICO,,
16:00,APLICACIONES AL CÁLCULO,,,DIBUJO MECÁNICO,,
17:00,APLICACIONES AL CÁLCULO,,,,,
18:00,,,,,,
19:00,,,,,,
20:00,,,,,,
21:00,,,,,,
