HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,
8:00,,,ALGORITMIA COMPUTACIONAL,,,
9:00,,APLICACIONES AL CÁLCULO,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
10:00,,APLICACIONES AL CÁLCULO,ALGORITMIA COMPUTACIONAL,,DIBUJO MECÁNICO,
11:00,,APLICACIONES AL CÁLCULO,,TERMOFLUIDOS,,
12:00,,,,TERMOFLUIDOS,,
13:00,,,,TERMOFLUIDOS,,
14:00,,,,,,
15:00,,,,DIBUJO MECÁNICO,,
16:00,,,,DIBUJO MECÁNICO,,
17:00,,,,,,
18:00,PROBABILIDAD Y ESTADÍSTICA,TALLER DE EXPRESIÓN ORAL,HILANDO MEMORIA (MEET),,,
19:00,PROBABILIDAD Y ESTADÍSTICA,TALLER DE EXPRESIÓN ORAL,HILANDO MEMORIA (MEET),,,
20:00,PROBABILIDAD Y ESTADÍSTICA,,,,,
21:00,,,,,,
