HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,CÁTEDRA AMÉRICA (MEET)
8:00,,,ALGORITMIA COMPUTACIONAL,,,CÁTEDRA AMÉRICA (MEET)
9:00,,,ALGORITMIA COMPUTACIONAL,,,
10:00,,,ALGORITMIA COMPUTACIONAL,,,
11:00,,,,APLICACIONES AL CÁLCULO,,
12:00,,PROBABILIDAD Y ESTADÍSTICA,,APLICACIONES AL CÁLCULO,,
13:00,,PROBABILIDAD Y ESTADÍSTICA,,APLICACIONES AL CÁLCULO,,
14:00,,PROBABILIDAD Y ESTADÍSTICA,,,,
15:00,TERMOFLUIDOS,,,,,
16:00,TERMOFLUIDOS,,,,,
17:00,TERMOFLUIDOS,,,,,
18:00,TALLER DE EXPRESIÓN ORAL,,,,,
19:00,TALLER DE EXPRESIÓN ORAL,,,,,
20:00,,,,,,
21:00,,,,,,
