HORA,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SÁBADO
6:00,,,,,,
7:00,,,,,,
8:00,,,ALGORITMIA COMPUTACIONAL,,TALLER DE EXPRESIÓN ORAL,
9:00,DIBUJO MECÁNICO,,ALGORITMIA COMPUTACIONAL,,TALLER DE EXPRESIÓN ORAL,
10:00,DIBUJO MECÁNICO,,ALGORITMIA COMPUTACIONAL,,,
11:00,,,,PROBABILIDAD Y ESTADÍSTICA,,
12:00,,TERMOFLUIDOS,,PROBABILIDAD Y ESTADÍSTICA,,
13:00,,TERMOFLUIDOS,,PROBABILIDAD Y ESTADÍSTICA,,
14:00,,TERMOFLUIDOS,,,,
15:00,APLICACIONES AL CÁLCULO,,,DIBUJO MECÁNICO,,
16:00,APLICACIONES AL CÁLCULO,,,DIBUJO MECÁNICO,,
17:00,APLICACIONES AL CÁLCULO,,HILANDO MEMORIA (MEET),,,
18:00,,,HILANDO MEMORIA (MEET),,,
19:00,,,,,,
20:00,,,,,,
21:00,,,,,,
